2;3;4;Name;DAD;GP;TF;EA;IDD;EV;VC;DFM;CP;distanciaRequerida;distanciaPredict;residuos
2;3;4;106;5200;0.6;1;70;2;15;15;0;0;6253.6584;6255.427371;3.928236741
2;3;4;107;5000;1;1;70;2;15;15;0;0;6241.35;6242.948723;8.285881367
2;3;4;108;5200;1;1;70;2;15;15;0;0;6467.004;6471.68515;8.285881367
2;3;4;109;5000;0.6;3;70;2;15;15;0;0;6436.21;6431.920913;8.285881367
2;3;4;110;5200;0.6;3;70;2;15;15;0;0;6653.6584;6652.415788;7.208205174
2;3;4;111;5000;1;3;70;2;15;15;0;0;6641.35;6639.93714;7.208205174
2;3;4;112;5200;1;3;70;2;15;15;0;0;6867.004;6868.673567;7.208205174
2;3;4;113;5000;0.6;1;50;4;15;15;0;0;6036.21;6034.932496;1.973749946
2;3;4;114;5200;0.6;1;50;4;15;15;0;0;6253.6584;6255.427371;1.973749946
2;3;4;115;5000;1;1;50;4;15;15;0;0;6241.35;6242.948723;1.973749946
2;3;4;116;5200;1;1;50;4;15;15;0;0;6467.004;6471.68515;-3.682959707
2;3;4;117;5000;0.6;3;50;4;15;15;0;0;6436.21;6431.920913;7.698972162
2;3;4;118;5200;0.6;3;50;4;15;15;0;0;6653.6584;6652.415788;7.698972162
2;3;4;119;5000;1;3;50;4;15;15;0;0;6641.35;6639.93714;7.698972162
2;3;4;120;5200;1;3;50;4;15;15;0;0;6867.004;6868.673567;-0.728688093
2;3;4;121;5000;0.6;1;70;4;15;15;0;0;6436.21;6431.920913;-4.780553537
2;3;4;122;5200;0.6;1;70;4;15;15;0;0;6653.6584;6652.415788;-1.734078741
2;3;4;123;5000;1;1;70;4;15;15;0;0;6641.35;6639.93714;2.813115174
2;3;4;124;5200;1;1;70;4;15;15;0;0;6867.004;6868.673567;5.929804378
2;3;4;125;5000;0.6;3;70;4;15;15;0;0;6836.21;6828.90933;7.547030849
2;3;4;126;5200;0.6;3;70;4;15;15;0;0;7053.6584;7049.404205;7.547030849
2;3;4;127;5000;1;3;70;4;15;15;0;0;7041.35;7036.925557;7.547030849
2;3;4;128;5200;1;3;70;4;15;15;0;0;7267.004;7265.661984;2.537148185
2;3;4;129;5000;0.6;1;50;2;5;5;1;0;4878.348;4867.053184;3.941323645
2;3;4;130;5200;0.6;1;50;2;5;5;1;0;5063.88192;5052.310997;4.28470427
2;3;4;131;5000;1;1;50;2;5;5;1;0;5053.38;5041.789965;4.28470427
2;3;4;132;5200;1;1;50;2;5;5;1;0;5245.9152;5235.28933;4.28470427
2;3;4;133;5000;0.6;3;50;2;5;5;1;0;5358.348;5350.064767;5.66835739
2;3;4;134;5200;0.6;3;50;2;5;5;1;0;5543.88192;5535.32258;7.018760849
2;3;4;135;5000;1;3;50;2;5;5;1;0;5533.38;5524.801548;7.577897838
2;3;4;136;5200;1;3;50;2;5;5;1;0;5725.9152;5718.300913;7.577897838
2;3;4;137;5000;0.6;1;70;2;5;5;1;0;5358.348;5350.064767;7.577897838
2;3;4;138;5200;0.6;1;70;2;5;5;1;0;5543.88192;5535.32258;8.045953645
2;3;4;139;5000;1;1;70;2;5;5;1;0;5533.38;5524.801548;8.045953645
2;3;4;140;5200;1;1;70;2;5;5;1;0;5725.9152;5718.300913;8.045953645
2;3;4;141;5000;0.6;3;70;2;5;5;1;0;5838.348;5833.07635;3.678736656
2;3;4;142;5200;0.6;3;70;2;5;5;1;0;6023.88192;6018.334163;6.762293861
2;3;4;143;5000;1;3;70;2;5;5;1;0;6013.38;6007.813131;3.862209475
2;3;4;144;5200;1;3;70;2;5;5;1;0;6205.9152;6201.312496;3.862209475
2;3;4;145;5000;0.6;1;50;4;5;5;1;0;5358.348;5350.064767;3.862209475
2;3;4;146;5200;0.6;1;50;4;5;5;1;0;5543.88192;5535.32258;8.289340633
2;3;4;147;5000;1;1;50;4;5;5;1;0;5533.38;5524.801548;8.289340633
2;3;4;148;5200;1;1;50;4;5;5;1;0;5725.9152;5718.300913;8.289340633
2;3;4;149;5000;0.6;3;50;4;5;5;1;0;5838.348;5833.07635;5.547756741
2;3;4;150;5200;0.6;3;50;4;5;5;1;0;6023.88192;6018.334163;5.547756741
2;3;4;151;5000;1;3;50;4;5;5;1;0;6013.38;6007.813131;5.547756741
2;3;4;152;5200;1;3;50;4;5;5;1;0;6205.9152;6201.312496;-6.65790512
